"Reported Date","Reported Year","Reported Month","Number Dead","Number Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Migration Route","Latitude","Longitude"
"October 08, 2017",2017,"Oct",46,3,49,38,"",8,"","Drowning","Central Mediterranean","34.757813062277"," 11.747713028906"
"October 03, 2017",2017,"Oct","",68,68,"","","","","Presumed drowning","Central Mediterranean","33.435577757609"," 13.213310956250"
"October 01, 2017",2017,"Oct",3,"",3,"","",2,1,"Crushed","Central Mediterranean","33.175092581861"," 12.476987920312"
"October 01, 2017",2017,"Oct",1,"",1,"","","","","Unknown (found on dinghy)","Central Mediterranean","34.399491539041"," 13.623046875000"
"October 01, 2017",2017,"Oct",2,"",2,"","","","","Unknown (found on dinghy)","Central Mediterranean","33.890315995891"," 13.117675802205"
"September 30, 2017",2017,"Sep",1,"",1,"","",1,"","Drowning","Central Mediterranean","33.507538772679"," 11.156813950781"
"September 28, 2017",2017,"Sep",1,"",1,5,1,"",1,"Unknown","Eastern Mediterranean","36.144480100000"," 29.586158100000"
"September 24, 2017",2017,"Sep",2,"",2,4,"",2,"","Gassed","Western Mediterranean","35.268594995463"," -2.937238993115"
"September 20, 2017",2017,"Sep",7,90,97,40,"","","","Presumed drowning","Central Mediterranean","33.571206001856"," 12.390651451562"
"September 15, 2017",2017,"Sep",3,"",3,139,2,1,1,"Unknown","Central Mediterranean","33.622177677794"," 12.905693768750"
"September 13, 2017",2017,"Sep",1,6,7,3,"","","","Drowning","Western Mediterranean","36.040798831235"," -2.618895484766"
"September 11, 2017",2017,"Sep",1,"",1,"","",1,"","Unknown","Central Mediterranean","32.668277655843"," 14.277635765234"
"September 11, 2017",2017,"Sep","",3,3,4,"","","","Presumed drowning","Western Mediterranean","35.960882647666"," -5.386543984375"
"August 31, 2017",2017,"Aug",7,"",7,13,7,"","","Drowning","Western Mediterranean","35.272098761012"," -2.887285532422"
"August 30, 2017",2017,"Aug","",120,120,1,25,95,"","Presumed drowning","Central Mediterranean","33.455393950314"," 11.520502123437"
"August 27, 2017",2017,"Aug",5,"",5,"","",5,"","Presumed drowning","Central Mediterranean","32.656427359935"," 14.274889183203"
"August 09, 2017",2017,"Aug",1,"",1,11,"",1,"","Drowning","Western Mediterranean","35.917556056940"," -5.373688022754"
"August 07, 2017",2017,"Aug",2,"",2,"","",2,"","Presumed drowning","Central Mediterranean","32.793048517692"," 12.726883162891"
"August 06, 2017",2017,"Aug",8,"",8,"","","","","Unknown","Central Mediterranean","32.812688104939"," 12.457809448242"
"August 01, 2017",2017,"Aug",8,"",8,119,3,5,"","Unknown","Central Mediterranean","33.722801551772"," 12.564878545312"
"July 31, 2017",2017,"Jul",1,"",1,"","",1,"","Drowning","Western Mediterranean","35.981822895107"," -5.617152641895"
"July 27, 2017",2017,"Jul",8,"",8,9,2,"",5,"Drowning","Eastern Mediterranean","38.332225832166"," 26.237827220703"
"July 25, 2017",2017,"Jul",13,3,16,"",8,"","","Fuel burns","Central Mediterranean","34.110273423914"," 12.647276006250"
"July 25, 2017",2017,"Jul",2,"",2,"","","","","Presumed drowning","Central Mediterranean","32.895858044686"," 13.189278363477"
"July 20, 2017",2017,"Jul",1,"",1,"","",1,"","Presumed drowning","Central Mediterranean","32.812558555669"," 12.454843602686"
"July 16, 2017",2017,"Jul",1,"",1,"","",1,"","Drowning","Western Mediterranean","37.136264912559"," -1.824022242578"
"July 15, 2017",2017,"Jul",1,"",1,"","",1,"","Drowning","Western Mediterranean","36.567000959142"," -4.585614805469"
"July 12, 2017",2017,"Jul",1,"",1,"","",1,"","Drowning","Western Mediterranean","36.632456427923"," -4.450250544922"
"July 11, 2017",2017,"Jul",3,"",3,48,"","","","Drowning","Western Mediterranean","35.287304600000"," -3.870843300000"
"July 10, 2017",2017,"Jul",1,"",1,"","",1,"","Drowning","Central Mediterranean","32.874646200000"," 13.133489900000"
"July 08, 2017",2017,"Jul","",35,35,65,"","",7,"Drowning","Central Mediterranean","33.626222300000"," 12.958341500000"
"July 04, 2017",2017,"Jul","",49,49,3,"","","","Drowning","Western Mediterranean","35.939433300000"," -3.038769000000"
